location,booster1_all,booster1_sixty_plus,booster1_sixty_plus_pp
AT,5124562,1912764,0.37325414347606684
BE,6934182,2591371,0.373709689189006
BG,753550,428280,0.5683498108950965
CY,463080,168153,0.36311868359678673
CZ,4143149,1984881,0.47907545685660835
DE,49637048,19293897,0.38869952540288055
DK,3632841,1463104,0.4027437479372205
EE,454650,202771,0.44599362146706256
ES,25043242,11267121,0.4499066454734575
FI,2948582,1413394,0.47934702172094923
FR,39093069,14967542,0.38286945442937725
HR,896400,541066,0.603598839803659
HU,3788053,1739510,0.4592095200357545
IE,2838850,973783,0.34302023706782675
IS,245303,70352,0.2867963294374712
IT,38536883,16184169,0.4199656988345425
LI,18123,7517,0.41477680295756775
LT,888413,390473,0.4395174316449669
LU,343797,106040,0.3084378281369529
LV,526610,217395,0.41281973376882325
MT,348836,112265,0.3218274490018232
NL,9252411,NA,NA
NO,2944542,1161088,0.39431870898767957
PL,11812155,5680959,0.4809417925856882
PT,6502386,2875946,0.4422908759953654
RO,1727395,1320314,0.7643382086899638
SE,5390488,2392368,0.44381287927920443
SI,647964,346234,0.5343414140291745
SK,1644348,773824,0.4705962484826813
